iter	Passed	Remaining
0	4	396
1	7	354
2	10	337
3	12	306
4	15	300
5	19	302
6	22	301
7	26	304
8	30	308
9	34	307
10	38	311
11	43	316
12	47	316
13	50	312
14	53	305
15	57	300
16	60	296
17	63	289
18	67	286
19	70	282
20	73	277
21	77	273
22	80	268
23	83	264
24	86	260
25	90	257
26	93	254
27	97	250
28	100	245
29	103	242
30	106	237
31	109	233
32	113	229
33	116	226
34	119	222
35	123	218
36	126	214
37	129	211
38	132	207
39	136	204
40	139	200
41	140	194
42	143	189
43	146	186
44	150	183
45	153	180
46	157	177
47	160	173
48	163	170
49	166	166
50	170	164
51	174	161
52	178	158
53	181	154
54	183	149
55	186	146
56	189	143
57	193	140
58	196	136
59	199	133
60	203	129
61	206	126
62	209	122
63	212	119
64	215	115
65	219	112
66	223	110
67	227	107
68	230	103
69	234	100
70	237	97
71	240	93
72	243	90
73	247	87
74	254	84
75	258	81
76	261	78
77	264	74
78	267	71
79	271	67
80	274	64
81	278	61
82	281	57
83	284	54
84	288	50
85	291	47
86	295	44
87	298	40
88	301	37
89	305	33
90	309	30
91	312	27
92	315	23
93	319	20
94	321	16
95	325	13
96	327	10
97	330	6
98	334	3
99	337	0
